job_id,title,company,location,country,category,experience_level,work_type,salary_min,salary_max,salary_currency,description,posted_date,source
JOB-00013,Entry Level Data Analyst,CloudNova Systems,London,United Kingdom,Data Analyst,Entry Level,Remote,33720,47464,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with a/b testing, data modelling, databricks, excel, gcp, kubernetes, power bi, sql, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-09,synthetic_stage_1
JOB-00014,Entry Level AI Engineer,GridCore Energy,Leeds,United Kingdom,AI Engineer,Entry Level,Remote,57353,73940,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with fastapi, langchain, mongodb, openai, rag, vector database. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-03,synthetic_stage_1
JOB-00015,Junior Data Analyst,RetailPulse,Birmingham,United Kingdom,Data Analyst,Junior,Remote,36046,43281,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with data modelling, excel, github actions, python, statistics, tableau, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-01,synthetic_stage_1
JOB-00016,Entry Level AI Engineer,UrbanData Studio,Newcastle,United Kingdom,AI Engineer,Entry Level,Remote,52480,61177,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with bash, docker, langchain, llm, openai, pinecone, vector database. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-13,synthetic_stage_1
JOB-00017,Mid Level Data Analyst,RetailPulse,Glasgow,United Kingdom,Data Analyst,Mid Level,Hybrid,43479,58968,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with data modelling, github actions, kubernetes, python, sql, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-26,synthetic_stage_1
JOB-00018,Senior Data Analyst,HealthMetric Solutions,London,United Kingdom,Data Analyst,Senior,Onsite,58522,65644,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with data modelling, excel, pinecone, power bi, python, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-09,synthetic_stage_1
JOB-00019,Junior Data Analyst,InsightWorks,Leeds,United Kingdom,Data Analyst,Junior,Onsite,39867,51014,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with data modelling, excel, github actions, kubernetes, mongodb, python, sql, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-08,synthetic_stage_1
JOB-00020,Senior Data Engineer,RetailPulse,Manchester,United Kingdom,Data Engineer,Senior,Hybrid,71746,86034,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with a/b testing, airflow, etl, postgresql, python, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-14,synthetic_stage_1
JOB-00021,Mid Level Data Scientist,HealthMetric Solutions,Newcastle,United Kingdom,Data Scientist,Mid Level,Hybrid,55166,63057,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with aws, forecasting, gcp, machine learning, mongodb, python, scikit-learn, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-05,synthetic_stage_1
JOB-00022,Mid Level Analytics Engineer,UrbanData Studio,Manchester,United Kingdom,Analytics Engineer,Mid Level,Onsite,58416,65928,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with a/b testing, data warehouse, dbt, etl, git, github actions, python, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-19,synthetic_stage_1
JOB-00023,Mid Level Machine Learning Engineer,FinEdge AI,London,United Kingdom,Machine Learning Engineer,Mid Level,Remote,63616,80937,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with aws, fastapi, machine learning, mlflow, pytorch, tensorflow. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-16,synthetic_stage_1
JOB-00024,Senior BI Analyst,NorthStar Analytics,Birmingham,United Kingdom,BI Analyst,Senior,Remote,64463,72147,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with data modelling, kubernetes, mongodb, power bi, sql, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-06,synthetic_stage_1
JOB-00025,Junior AI Engineer,UrbanData Studio,Leeds,United Kingdom,AI Engineer,Junior,Remote,59185,67793,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with chromadb, docker, kubernetes, langchain, llm, mongodb, mysql, python, rag. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-05-06,synthetic_stage_1
JOB-00026,Junior Data Analyst,RetailPulse,London,United Kingdom,Data Analyst,Junior,Remote,35582,48110,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with azure, data modelling, mongodb, power bi, python, sql, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-31,synthetic_stage_1
JOB-00027,Senior Data Engineer,CloudNova Systems,Glasgow,United Kingdom,Data Engineer,Senior,Onsite,73559,85222,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with aws, azure, data warehouse, databricks, postgresql, python, spark, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-27,synthetic_stage_1
JOB-00028,Senior Machine Learning Engineer,TalentSphere,Remote UK,United Kingdom,Machine Learning Engineer,Senior,Onsite,77573,94455,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with bash, deep learning, fastapi, linux, mlflow, python, pytorch. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-31,synthetic_stage_1
JOB-00029,Mid Level BI Analyst,HealthMetric Solutions,Newcastle,United Kingdom,BI Analyst,Mid Level,Onsite,50447,62658,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with bash, data modelling, excel, kubernetes, power bi, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-30,synthetic_stage_1
JOB-00030,Entry Level Analytics Engineer,DataBridge Labs,Glasgow,United Kingdom,Analytics Engineer,Entry Level,Hybrid,47876,56656,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with a/b testing, data warehouse, dbt, etl, git, kubernetes, mongodb, snowflake, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-25,synthetic_stage_1
JOB-00031,Entry Level Data Analyst,FinEdge AI,Remote UK,United Kingdom,Data Analyst,Entry Level,Remote,31005,44789,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with azure, excel, power bi, python, sql, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-13,synthetic_stage_1
JOB-00032,Junior AI Engineer,CloudNova Systems,Bristol,United Kingdom,AI Engineer,Junior,Onsite,57873,70838,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with chromadb, docker, fastapi, langchain, llm, openai. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-03,synthetic_stage_1
JOB-00033,Junior Data Scientist,UrbanData Studio,Bristol,United Kingdom,Data Scientist,Junior,Remote,48488,61793,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with a/b testing, bash, databricks, forecasting, machine learning, mysql, scikit-learn, sql, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-18,synthetic_stage_1
JOB-00034,Junior Analytics Engineer,GridCore Energy,Bristol,United Kingdom,Analytics Engineer,Junior,Onsite,51225,62727,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with aws, data warehouse, dbt, git, github actions, kubernetes, mysql, python, snowflake. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-28,synthetic_stage_1
JOB-00035,Junior BI Analyst,CloudNova Systems,Manchester,United Kingdom,BI Analyst,Junior,Hybrid,36510,45898,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with a/b testing, bash, data modelling, excel, linux, power bi, sql, statistics, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-23,synthetic_stage_1
JOB-00036,Senior Machine Learning Engineer,TalentSphere,London,United Kingdom,Machine Learning Engineer,Senior,Remote,77237,89608,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with bash, deep learning, fastapi, github actions, kubernetes, machine learning, mlflow, pytorch, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-02,synthetic_stage_1
JOB-00037,Junior Analytics Engineer,RetailPulse,Manchester,United Kingdom,Analytics Engineer,Junior,Onsite,51131,63342,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with azure, etl, gcp, git, pinecone, python, snowflake, sql, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-30,synthetic_stage_1
JOB-00038,Senior Data Scientist,GridCore Energy,Birmingham,United Kingdom,Data Scientist,Senior,Hybrid,68836,85487,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with linux, machine learning, numpy, pandas, python, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-11-25,synthetic_stage_1
JOB-00039,Junior AI Engineer,NorthStar Analytics,London,United Kingdom,AI Engineer,Junior,Remote,59099,71142,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with fastapi, langchain, llm, mysql, python, rag, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-20,synthetic_stage_1
JOB-00040,Mid Level BI Analyst,TalentSphere,Newcastle,United Kingdom,BI Analyst,Mid Level,Remote,50657,66933,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with aws, data modelling, databricks, excel, kubernetes, mysql, power bi, sql, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-09,synthetic_stage_1
JOB-00041,Mid Level Data Analyst,FinEdge AI,Newcastle,United Kingdom,Data Analyst,Mid Level,Onsite,43864,56966,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with azure, bash, power bi, python, sql, statistics, tableau, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-08,synthetic_stage_1
JOB-00042,Junior Analytics Engineer,GridCore Energy,Manchester,United Kingdom,Analytics Engineer,Junior,Onsite,51640,61662,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with data warehouse, databricks, dbt, git, github actions, mysql, pinecone, python, snowflake. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-11-30,synthetic_stage_1
JOB-00043,Senior Data Engineer,GridCore Energy,Edinburgh,United Kingdom,Data Engineer,Senior,Hybrid,72116,83692,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with airflow, chromadb, linux, postgresql, python, spark, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-18,synthetic_stage_1
JOB-00044,Junior BI Analyst,FinEdge AI,Remote UK,United Kingdom,BI Analyst,Junior,Remote,36141,43665,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with chromadb, data modelling, excel, mongodb, mysql, power bi, sql, tableau, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-22,synthetic_stage_1
JOB-00045,Mid Level Data Scientist,RetailPulse,Edinburgh,United Kingdom,Data Scientist,Mid Level,Hybrid,55511,65629,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with forecasting, github actions, machine learning, mysql, pandas, scikit-learn, statistics, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-06,synthetic_stage_1
JOB-00046,Junior Data Analyst,InsightWorks,Birmingham,United Kingdom,Data Analyst,Junior,Remote,35863,47775,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with aws, excel, github actions, kubernetes, power bi, python, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-23,synthetic_stage_1
JOB-00047,Mid Level Data Engineer,NorthStar Analytics,Remote UK,United Kingdom,Data Engineer,Mid Level,Remote,56100,71505,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with airflow, etl, pinecone, python, spark, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-19,synthetic_stage_1
JOB-00048,Junior Machine Learning Engineer,GridCore Energy,Bristol,United Kingdom,Machine Learning Engineer,Junior,Remote,59623,66501,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with aws, databricks, docker, fastapi, mongodb, python, pytorch, tensorflow, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-16,synthetic_stage_1
JOB-00049,Junior Data Scientist,TalentSphere,Glasgow,United Kingdom,Data Scientist,Junior,Remote,47512,58515,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with databricks, forecasting, github actions, numpy, pandas, pinecone, scikit-learn, sql, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-02,synthetic_stage_1
JOB-00050,Junior BI Analyst,NorthStar Analytics,Newcastle,United Kingdom,BI Analyst,Junior,Hybrid,36021,48714,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with data modelling, gcp, power bi, sql, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-03,synthetic_stage_1
JOB-00051,Entry Level Analytics Engineer,TalentSphere,Bristol,United Kingdom,Analytics Engineer,Entry Level,Remote,49120,64783,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with chromadb, data warehouse, etl, git, github actions, snowflake, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-26,synthetic_stage_1
JOB-00052,Junior AI Engineer,InsightWorks,Leeds,United Kingdom,AI Engineer,Junior,Onsite,61874,77199,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with chromadb, docker, github actions, llm, openai, python, rag. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-20,synthetic_stage_1
JOB-00053,Senior Machine Learning Engineer,CloudNova Systems,Bristol,United Kingdom,Machine Learning Engineer,Senior,Hybrid,77211,84707,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with databricks, fastapi, github actions, linux, mlflow, mysql, python, pytorch, tensorflow. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-05,synthetic_stage_1
JOB-00054,Entry Level Analytics Engineer,TalentSphere,London,United Kingdom,Analytics Engineer,Entry Level,Remote,46850,59540,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with aws, chromadb, data warehouse, etl, mongodb, python, snowflake, sql, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-01,synthetic_stage_1
JOB-00055,Senior Data Engineer,CloudNova Systems,Manchester,United Kingdom,Data Engineer,Senior,Onsite,70949,83571,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with airflow, aws, chromadb, data warehouse, docker, github actions, linux, python, spark. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-19,synthetic_stage_1
JOB-00056,Senior AI Engineer,NorthStar Analytics,Remote UK,United Kingdom,AI Engineer,Senior,Remote,84499,92645,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with azure, chromadb, docker, fastapi, github actions, kubernetes, langchain, openai, rag. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-20,synthetic_stage_1
JOB-00057,Junior Machine Learning Engineer,GridCore Energy,Newcastle,United Kingdom,Machine Learning Engineer,Junior,Onsite,54929,68489,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with deep learning, fastapi, kubernetes, python, pytorch, tensorflow. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-08,synthetic_stage_1
JOB-00058,Mid Level Analytics Engineer,DataBridge Labs,Bristol,United Kingdom,Analytics Engineer,Mid Level,Hybrid,62910,77237,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with bash, dbt, etl, git, kubernetes, python, snowflake. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-12,synthetic_stage_1
JOB-00059,Mid Level AI Engineer,CloudNova Systems,Glasgow,United Kingdom,AI Engineer,Mid Level,Onsite,69967,81621,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with a/b testing, docker, fastapi, gcp, openai, pinecone, python, rag, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-01,synthetic_stage_1
JOB-00060,Mid Level BI Analyst,UrbanData Studio,Leeds,United Kingdom,BI Analyst,Mid Level,Remote,48874,66428,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with data modelling, excel, linux, power bi, sql, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-13,synthetic_stage_1
JOB-00061,Junior Machine Learning Engineer,DataBridge Labs,Bristol,United Kingdom,Machine Learning Engineer,Junior,Onsite,59363,67892,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with azure, bash, docker, fastapi, gcp, mlflow, mysql, python, pytorch. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-11-27,synthetic_stage_1
JOB-00062,Entry Level Machine Learning Engineer,FinEdge AI,Birmingham,United Kingdom,Machine Learning Engineer,Entry Level,Hybrid,54170,71383,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with deep learning, docker, kubernetes, mlflow, python, pytorch. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-20,synthetic_stage_1
JOB-00063,Entry Level Data Scientist,CloudNova Systems,Leeds,United Kingdom,Data Scientist,Entry Level,Hybrid,41936,54077,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with azure, chromadb, forecasting, github actions, machine learning, pandas, python, scikit-learn. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-26,synthetic_stage_1
JOB-00064,Junior Data Scientist,InsightWorks,Remote UK,United Kingdom,Data Scientist,Junior,Remote,49225,59386,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with databricks, gcp, kubernetes, machine learning, python, scikit-learn, sql, statistics, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-05,synthetic_stage_1
JOB-00065,Junior Data Engineer,NorthStar Analytics,Bristol,United Kingdom,Data Engineer,Junior,Remote,50151,64067,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with airflow, docker, etl, github actions, kubernetes, postgresql, spark, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-05,synthetic_stage_1
JOB-00066,Mid Level Data Scientist,RetailPulse,Birmingham,United Kingdom,Data Scientist,Mid Level,Remote,55886,65474,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with databricks, github actions, kubernetes, machine learning, numpy, pandas, pinecone, python, scikit-learn. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-19,synthetic_stage_1
JOB-00067,Entry Level Data Scientist,TalentSphere,Glasgow,United Kingdom,Data Scientist,Entry Level,Onsite,41676,54483,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with aws, forecasting, github actions, machine learning, numpy, python, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-22,synthetic_stage_1
JOB-00068,Mid Level Data Scientist,DataBridge Labs,Remote UK,United Kingdom,Data Scientist,Mid Level,Remote,53616,61922,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with forecasting, machine learning, numpy, scikit-learn, statistics, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-04,synthetic_stage_1
JOB-00069,Entry Level AI Engineer,RetailPulse,Remote UK,United Kingdom,AI Engineer,Entry Level,Hybrid,54147,69724,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with docker, langchain, mongodb, mysql, openai, pinecone, python, rag. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-02-13,synthetic_stage_1
JOB-00070,Senior AI Engineer,HealthMetric Solutions,Newcastle,United Kingdom,AI Engineer,Senior,Remote,81145,87887,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with aws, bash, langchain, llm, mongodb, openai, python, vector database. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-11-17,synthetic_stage_1
JOB-00071,Junior Data Engineer,GridCore Energy,Newcastle,United Kingdom,Data Engineer,Junior,Onsite,47811,61828,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with airflow, bash, data warehouse, docker, mongodb, postgresql, spark. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-14,synthetic_stage_1
JOB-00072,Junior Machine Learning Engineer,FinEdge AI,London,United Kingdom,Machine Learning Engineer,Junior,Hybrid,55554,63555,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with azure, bash, deep learning, fastapi, github actions, machine learning, mlflow, python. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-04,synthetic_stage_1
JOB-00073,Mid Level Data Analyst,InsightWorks,London,United Kingdom,Data Analyst,Mid Level,Remote,44908,56291,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with data modelling, databricks, excel, kubernetes, power bi, python, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-15,synthetic_stage_1
JOB-00074,Junior AI Engineer,TalentSphere,London,United Kingdom,AI Engineer,Junior,Remote,58949,74596,GBP,"You will build AI applications using LLMs, retrieval pipelines and backend services. The role requires experience with azure, docker, fastapi, linux, llm, openai, python. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-29,synthetic_stage_1
JOB-00075,Junior Data Analyst,DataBridge Labs,Glasgow,United Kingdom,Data Analyst,Junior,Onsite,34893,48298,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with a/b testing, chromadb, databricks, excel, linux, python, sql, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-03-16,synthetic_stage_1
JOB-00076,Senior Data Scientist,TalentSphere,London,United Kingdom,Data Scientist,Senior,Onsite,72835,86102,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with forecasting, pandas, python, scikit-learn, statistics, time series. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-11-26,synthetic_stage_1
